TIC_ID,label,period,depth_ppm,duration_hr,TOI,sectors,n_sectors
13023738,0,8.0635,5180.0,3.396,360.01,[29],1
108835813,0,4.76516,647.689,2.892,992.01,[34],1
162802770,1,4.88096396158047,3385.55268564115,1.61203620434866,2641.01,"[36, 37, 63, 90, 99]",5
300011941,0,1.81412152094214,129.404120127498,4.60061540235987,4357.01,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 87, 88, 89, 90, 93, 95, 96, 97, 98]",35
334911765,0,0.88958,1240.0,1.844,1956.01,[38],1
271898990,1,1.7476330450967963,16779.798714886663,2.185055579798528,7501.01,[92],1
350814622,1,3.21356358670838,654.732282128857,4.31416113701979,6089.01,"[40, 41, 53, 54, 55, 74, 75, 80, 82]",9
75208638,0,4.6512523,3110.0,2.251,4257.01,"[62, 63]",2
250386181,0,1.470258,2700.0,1.126,390.01,"[4, 30]",2
97766057,1,3.253529937590317,6115.013139855932,5.192383302407791,4379.01,"[39, 66, 91, 93]",4
38686737,0,2.24704,18890.4,2.713,432.01,"[5, 31]",2
7059054,1,5.185768,13002.0,2.356,5072.01,"[44, 45, 46, 71, 72]",5
412961700,0,2.51838455597415,616.02274824989,2.15962059671432,589.01,"[34, 61, 88]",3
363635669,0,0.761782828714231,3487.63538262759,2.00297966772693,4275.01,"[63, 64, 90]",3
142087638,0,74.60689649434026,2304.723725319001,4.887407126763615,2404.02,"[7, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88, 89, 90, 93, 94, 95, 96, 97]",30
400323948,0,3.22428082457996,868.621441418607,4.31000768353036,1959.01,"[37, 38]",2
164786087,1,4.08228938921105,16484.9762857776,3.28825567874917,4440.01,"[40, 41, 53, 54, 55, 74, 75, 81, 82]",9
190743990,0,1.7380504,956.0,1.496,1376.01,"[56, 76, 83]",3
153951307,1,3.294768919743886,1324.0402774187455,1.748310281586177,1238.01,"[14, 15, 21, 22, 41, 49, 74, 76]",8
193634953,1,2.9479689,24090.0,1.584,5688.01,"[74, 78, 80, 81]",4
273774284,0,17.2182695,4810.0,7.888,5910.01,"[74, 75, 81, 82]",4
230386397,0,19.5078657,1770.0,4.603,2099.01,"[14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 74, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86]",39
251848941,1,6.5578513,1596.0,2.08,178.01,"[2, 29, 69]",3
100990000,1,9.573078691323715,288.090893039154,3.349035744924665,411.01,"[3, 4, 30, 31, 97]",5
17129975,0,1.5142292181356,5271.45586353974,1.71904157544925,6969.01,[75],1
31656385,0,22.84518,9210.0,7.215,2360.01,"[28, 29, 30, 95]",4
192372961,0,2.06313,600.0,2.157,1593.01,[58],1
89535068,0,6.11109450729485,1098.15267195855,4.25663178803618,1983.01,"[35, 36, 37]",3
280210963,1,2.82803914988691,28860.8258277955,2.62159430961908,535.01,"[6, 33, 87]",3
113295476,0,1.820443,7330.0,2.643,4233.01,"[61, 88]",2
198108326,1,3.2130578,22530.0,2.169,1844.01,"[23, 49, 50, 76, 77]",5
167227214,1,3.12904756214867,13426.2063185097,3.4092950457737,7055.01,[80],1
81231810,0,5.4521068,8170.0,4.702,2838.01,[87],1
180695581,1,0.54937,370.0,0.883,1807.01,"[22, 23, 49, 76]",4
120757718,1,3.03007145826677,21794.6136956278,2.5466671376467,1236.01,"[14, 40, 41, 53, 54, 74, 80, 81]",8
