TIC_ID,label,period,depth_ppm,duration_hr,TOI,sectors,n_sectors
139375960,1,5.33155,4220.0,6.191,1601.01,[85],1
269269546,1,4.45417003140808,21409.0524466087,2.27142996889905,4488.01,"[41, 54, 55, 74, 75, 81, 82]",7
65412605,1,4.4010465,6903.0,4.757,626.01,"[33, 34, 61, 87, 88]",5
428679607,1,2.6800536,456.0,1.758,1669.01,"[19, 20, 25, 26, 52, 53, 59, 60, 73, 79, 86]",11
435339558,1,21.9903619373797,1122.30210888484,3.87323814310393,6962.01,"[42, 43, 44, 70, 71]",5
245392284,1,1.74428305047365,7445.24790473682,2.19283721045,6030.01,"[58, 85]",2
120896927,1,4.75597367928781,398.631011309688,2.54696956691237,402.01,"[3, 4, 30, 97]",4
99834717,1,1.7063264,10980.0,1.359,1780.01,"[21, 41, 47, 48, 74, 75]",6
350445771,0,3.1901568769397,3648.24424555925,1.82628672075803,258.01,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88, 89, 90, 93, 94, 95, 96]",30
407394748,0,0.7522775,1301.0,1.073,1623.01,"[52, 58, 59, 73, 78, 79]",6
288246496,1,4.30482901389489,7531.42211974336,3.53112663340487,6015.01,"[57, 84]",2
134315574,0,1.5971584,5070.0,3.429,2759.01,[61],1
284288080,0,1.83485,1200.0,2.673,889.01,"[33, 34, 35, 36]",4
379929661,1,4.786958,8390.0,4.936,625.01,"[34, 61, 88]",3
237101326,0,1.5373948,2710.0,1.194,4051.01,"[47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86]",24
178367144,1,3.40915679219223,16294.3969401585,3.20678610779358,966.01,"[34, 61, 88]",3
367287018,0,4.7257129,1740.0,2.701,4037.01,"[52, 58, 59, 73, 78, 79]",6
469184909,0,1.2926975,6460.0,2.592,2953.01,"[63, 64, 90]",3
20182780,1,4.3533211,21740.0,1.894,3984.01,"[50, 51, 77, 78]",4
123357864,1,16.1455898171819,919.533626184334,4.54317107859519,6005.01,"[14, 26, 40, 41, 53, 54, 55, 74, 75, 80, 81, 82]",12
258801269,0,5.48923,910.0,3.29,1400.01,"[40, 47, 48, 49, 50, 51, 52, 53, 54, 55, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83]",21
405010127,1,13.2341261104799,18389.509247178,2.37051567420922,7066.01,"[54, 81]",2
339733013,0,5.62162,580.083,2.675,417.01,"[4, 6, 7, 8, 9, 10, 11, 12, 13]",9
388811663,1,9.79565352601142,1633.79537111132,2.70730916677492,5155.01,"[42, 43, 70]",3
308919449,0,1.6563738,246.0,1.741,1942.01,"[1, 2, 4, 5, 8, 9, 10, 11, 12, 28, 29, 31, 32, 34, 35, 36, 37, 38, 88, 89, 90, 95, 96]",23
404610583,0,3.53810387355688,11844.6534836217,2.44193702304445,5966.01,"[56, 83]",2
59843967,1,2.51672571567235,16406.5457432305,2.5896099209247,474.01,"[6, 33, 87]",3
329148988,1,27.267201584602,1154.32788845401,2.4164838811884,2285.01,"[16, 17, 24, 56, 57, 76, 77, 83, 84]",9
279982557,0,1.78902172531801,391.625166905334,1.91905638067909,2097.01,"[15, 16, 17, 18, 19, 20, 21, 22, 24, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 84, 85, 86]",23
27774415,1,4.94279853350153,11349.4838660999,3.31538275775367,4456.01,"[40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83]",11
67926921,0,3.566276,3870.0,4.197,1712.01,[47],1
60286662,1,8.56232889439015,4321.46948957413,3.09616846895627,5162.01,"[44, 45, 46, 71, 72]",5
243185500,1,15.5324384891986,2937.49532135865,1.76407174720282,1468.01,"[17, 42, 43, 57, 84]",5
295413003,0,3.0373017,6290.0,4.664,3581.01,[55],1
192520375,0,0.9109508,4720.0,1.473,4251.01,[62],1
122375047,1,9.28667326119068,713.849435184599,3.25938080999382,6088.01,"[40, 41, 54, 55, 74, 81]",6
468472950,0,0.98736,370.0,1.464,1395.01,"[55, 56, 76, 82, 83]",5
63898957,1,3.3639253966859,422.061076119246,3.34304953141334,261.01,"[3, 30]",2
248250955,1,0.301150580637201,1457.69739751313,0.64048413083924,4552.01,"[12, 39, 66]",3
442530946,1,3.71302791209182,10664.987509758415,3.385941745826403,7476.01,[92],1
311121985,0,1.3561596,482.0,2.504,1660.01,"[19, 59, 73]",3
256349966,0,14.5877856,3374.0,3.517,6343.01,"[77, 78, 83, 84, 85]",5
137402055,1,1.9737719355324,32350.4373938519,2.17717014323531,4570.01,"[40, 41, 54, 55, 74, 75, 81, 82]",8
121731834,1,5.85993922192109,289.448773485226,4.08423911792563,6003.01,"[14, 40, 41, 54, 55, 74, 75, 80, 81, 82]",10
188768068,1,2.1779407,110.0,2.098,1462.01,"[17, 20, 24, 25, 26, 40, 47, 50, 51, 53, 54, 57, 60, 74, 77, 78, 79, 80, 81, 84, 85]",21
183537452,1,3.922711331243955,11362.367070907512,2.6326626155608337,192.01,"[2, 29, 69, 96]",4
308098254,1,9.6246665,10230.0,4.297,1906.01,"[36, 63, 90]",3
116483514,1,1.4520486,393.0,1.339,1411.01,"[16, 23, 24, 50, 51, 77, 78]",7
199376584,1,18.712253,6066.0,6.475,1456.01,"[14, 15, 41, 55, 75, 81, 82]",7
5882269,1,4.7948642,2280.0,2.245,5083.01,"[43, 44, 45, 71]",4
373424049,0,0.9619169928420026,363.5801832650744,2.378514,742.01,"[9, 10, 35, 36]",4
85293053,1,8.05422072638224,706.816530691621,3.02871611944131,1772.01,"[21, 48]",2
356867115,1,6.09640744087736,1142.48917449077,2.3632965070759,1301.01,"[14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 60, 73, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86]",39
41422753,0,2.4710528,5420.0,3.033,5855.01,"[74, 75, 81]",3
384888319,1,5.87957519379483,1352.7622114228,2.07781572728965,4529.01,"[42, 43, 70]",3
423275733,1,2.05286837159852,8982.08035620182,2.62011277245046,578.01,"[8, 35, 62, 89, 99]",5
220016044,0,0.939966443907959,587.936424492942,1.12249199834294,357.01,"[29, 30, 69]",3
327952677,1,3.396944097608,10192.1311580345,2.41486867099551,295.01,"[29, 69, 70]",3
58474992,0,25.714253,33131.0,6.373,6921.01,"[43, 44]",2
268644785,1,3.32946492386429,10603.986390495,4.01231078871438,505.01,"[7, 9, 34, 35, 36, 61, 62, 88, 89]",9
172871230,0,3.4100261,5200.0,2.233,5273.01,"[74, 81, 82]",3
73540072,1,1.2436239,1790.0,1.211,1853.01,[50],1
318753380,1,15.6692322098987,1393.38148015132,4.56285298177157,2443.01,[31],1
382437043,0,14.6431900156867,242.792391937292,2.54834260804878,1223.01,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 61, 62, 63, 64, 65, 67, 68, 69, 87, 88, 89, 90, 94, 95, 96]",40
199688472,0,1.4412175,12927.0,1.666,1292.01,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",42
420779000,1,4.23421531199059,6137.40698692874,2.51662574190242,5632.01,[50],1
71431780,1,13.7270395,901.0,4.007,1723.01,"[20, 26, 47, 73, 74]",5
172754786,0,4.1273472,18840.0,2.74,3561.01,"[54, 55, 74, 75, 81, 82]",6
302773669,1,21.216464,6499.0,3.045,1573.01,"[18, 19, 25, 52, 59, 73, 79, 86]",8
332064670,1,0.736546250262761,384.673312070301,1.57322083504225,1773.01,"[21, 44, 46, 72]",4
298663873,1,260.174006087125,4747.95959199948,24.0527094589958,2180.01,"[14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",40
41227743,0,1.4188152815023043,136.34716075769128,4.575428809727892,804.01,"[1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 62, 63, 64, 66, 67, 68, 69, 89, 90, 93, 94, 95, 96, 97]",35
66818296,1,3.7354838,17030.0,4.142,1050.01,"[12, 38, 91]",3
258796169,1,1.55381877515444,3449.95191823064,0.923935953718451,4616.01,"[17, 42, 43, 70]",4
387079085,0,1.1923,3730.0,3.119,1092.01,[38],1
1101909431,0,23.2556119,35720.0,7.878,3921.01,"[77, 78]",2
176984236,0,1.7560902,1650.0,1.763,405.01,"[4, 5, 7, 8, 9, 10, 11, 12, 13, 97]",10
230982885,1,2.0727598,14761.0,2.619,195.01,"[2, 29, 69, 96]",4
89702406,0,23.143855131532,6955.87389373654,5.76594665375997,4627.01,"[35, 36, 37, 61, 62, 63]",6
61980227,0,3.09589846346997,10354.9916952077,1.85846839217872,2316.01,[28],1
258777134,0,5.929405,16410.0,3.719,1299.01,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 73, 74, 75, 76, 77, 79, 80, 82, 83, 84, 85, 86]",40
271431851,1,7.88642182497306,6241.56724429505,4.94293777851912,6081.01,"[40, 41, 54, 55, 74, 75, 81, 82]",8
158916431,0,5.8924856,4530.0,3.134,2146.01,"[40, 52, 53]",3
16740101,1,1.48109028542409,6788.51453882957,4.15882908243568,1150.01,"[14, 15, 41, 55, 75, 82]",6
218795833,1,1.26523376763187,110215.679507922,1.21210026319974,519.01,"[7, 34, 61, 88]",4
268371979,0,2.78102,748.64,1.657,977.01,[33],1
468845640,0,3.99307,3892.81,4.783,1396.01,"[76, 77, 83]",3
307733361,1,1.6739029,863.0,1.355,5071.01,"[44, 45, 46, 72]",4
267572272,1,2.79747573594296,18699.8504805319,2.21491324373294,4489.01,"[26, 40, 41, 53, 54, 55, 59, 74, 75, 80, 82]",11
354442783,0,1.52247059126327,8545.45427130378,1.34233314048373,3712.01,"[59, 73]",2
281731203,1,11.6332127,3480.0,5.081,685.01,"[9, 35, 45, 46, 72]",5
287474726,0,3.74420073543415,803.26278168871,3.50047618655898,582.01,"[34, 35]",2
27244707,0,1.6882863,5190.0,2.636,3759.01,[59],1
443042089,0,0.5496848,2860.0,0.82,3078.01,"[63, 64, 89, 90]",4
237320326,1,1.77711087925076,14073.5021162789,1.56695283657592,2414.01,"[28, 68]",2
301031110,1,3.830416247652816,12299.893921040097,3.12512050165523,7499.01,[92],1
27534138,1,28.5410557316464,1280.58982645742,10.6581230767746,5993.01,"[40, 41, 54, 55, 74, 75, 76, 81, 82, 83]",10
187532854,0,1.6513066,1751.0,0.82,6377.01,[73],1
53189332,1,9.28970063288851,6241.26190640106,5.35891550119162,660.01,"[9, 36, 45, 46, 72, 89]",6
134396419,0,4.3652608,1362.0,1.976,600.01,"[34, 35]",2
308172249,1,1.4013784006976,19735.2001266552,1.70427147488646,2139.01,"[26, 52, 53, 79, 80]",5
428787891,1,3.82408264319209,10096.109863326,2.51725214951287,2154.01,"[40, 52, 53, 59, 60, 79, 86]",7
224245334,1,3.78523282768119,1338.879127814,3.53982975332825,333.01,"[29, 69, 96]",3
278348461,1,5.4526479,7750.0,3.401,1257.01,"[14, 41, 54, 81]",4
380589029,1,1.34849612641642,18463.7636681567,2.40742609220852,1084.01,"[13, 39, 66, 93]",4
100267480,0,0.87741,12050.0,0.472,2341.01,"[67, 94]",2
32830028,0,0.516278,20289.210823,0.565611,549.01,"[6, 32, 33]",3
460140752,0,12.0077462,2921.0,2.818,1947.01,"[36, 37]",2
446549905,0,2.4545635,4248.0,2.321,1110.01,[27],1
44745077,0,1.8756,5666.3,0.989,436.01,"[4, 5]",2
164767175,1,10.751124783434165,586.0959345109092,2.8581721113281966,266.01,"[3, 30, 97]",3
117256577,0,1.6865822,1770.0,2.429,1156.01,"[41, 54, 55, 81]",4
219852882,1,5.50255772450521,844.7022675774,3.17110076667725,1346.01,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86]",41
29336129,0,1.63638219397965,2383.86903865495,5.2796046260831,2933.01,"[62, 63]",2
154459165,0,3.1471655,1440.0,3.402,611.01,"[34, 61, 88]",3
102192004,1,4.2337078,7690.0,2.008,1919.01,"[37, 64]",2
239154970,1,3.4744763,12920.0,4.258,1714.01,"[20, 44, 45, 46, 47, 60]",6
357501308,1,7.43557089552366,1310.68031564617,2.34503210226433,2018.01,"[24, 51, 77, 78]",4
404467699,1,3.9080236,8100.0,3.292,857.01,[30],1
389999924,0,4.760620669947277,7813.831385305276,5.942044263679005,3176.01,"[63, 64, 99]",3
207084429,0,4.89577,360.0,2.478,381.01,"[2, 3, 29, 69, 96]",5
401604346,1,2.12236725100755,8056.33402519391,1.58553648293112,2193.01,"[27, 67, 94]",3
29191624,1,14.6503935,330.0,2.08,1777.01,"[21, 48]",2
27844066,0,1.8532983,10790.0,1.197,3536.01,"[54, 55]",2
61117473,0,6.183621108141788,10508.130708332332,2.5436374125035703,3122.01,"[65, 91]",2
230055368,1,1.43446023836647,1028.21878524315,0.934887724935997,5720.01,"[22, 49]",2
269701147,1,8.8803281,1238.0,2.71,1339.01,"[15, 16, 17, 18, 19, 21, 22, 24, 25, 41, 48, 49, 51, 52, 55, 56, 59, 60, 73, 75, 76, 77, 78, 79, 82, 83, 85, 86]",28
120255950,1,31.5786847112054,2119.32566761632,2.12950550935654,4584.01,"[40, 41, 53, 54, 74, 80, 81]",7
98669309,1,4.00357732993897,14273.8513136905,2.09581532830142,5173.01,"[46, 91]",2
194736418,1,5.826731,1068.0,4.571,6038.01,"[18, 86]",2
268042363,0,4.6141256,4920.0,1.566,2828.01,"[61, 62]",2
54962195,1,2.59890311538331,1953.26154652524,1.6635706342516,663.01,"[9, 35, 62, 89]",4
172464366,0,2.921685,17562.44572,3.17791,478.01,"[6, 7, 33]",3
184679932,0,2.17214162392028,17864.5520776003,2.74808232874544,1645.01,"[18, 58, 85]",3
352413427,1,5.2544884,567.0,2.898,1473.01,"[17, 57, 84]",3
339250695,0,4.72622084522307,9512.91656191404,3.23440440847707,3725.01,"[59, 73]",2
284564230,0,12.9773004,997.0,4.391,2162.01,"[40, 41, 47, 49, 50, 53, 54, 55, 73, 74, 75, 76, 77, 80, 81, 82, 83]",17
350995812,0,2.97164,7350.0,1.534,1145.01,"[40, 41, 54, 55, 74, 75]",6
219698950,1,3.44645291290583,16320.7911726026,2.46259904549543,766.01,"[10, 36, 63, 90]",4
87216634,1,12.9256051,790.0,1.691,5789.01,[81],1
277833995,1,2.29799150846319,1354.96409157128,0.984865049008475,5524.01,"[8, 45, 46, 72]",4
348673213,0,0.901465043293428,3156.56582644838,2.55621546285242,1639.01,[18],1
289988797,0,2.2042212,4250.0,1.011,4178.01,[10],1
77228304,0,0.336826,18251.292089,0.883311,456.01,"[4, 5, 31, 32, 98]",5
23434737,1,25.5195306914712,558.375863689352,6.68774512927699,1203.01,"[9, 10, 36, 63, 90, 99]",6
458857720,0,1.30924,3370.0,2.535,1979.01,"[36, 37]",2
92359850,0,4.155,4900.0,2.807,387.01,[4],1
142937186,1,1.30613,560.0,0.634,2427.01,[31],1
28643432,0,2.2751393,3350.0,2.087,5184.01,"[74, 80, 81]",3
429304876,1,6.8392388,1213.0,4.176,682.01,"[9, 36, 63, 90]",4
272212970,1,1.6091845,13450.0,1.63,1902.01,"[37, 64, 90, 99]",4
234523599,1,3.79551778380905,52278.9940978848,2.01981348473053,127.01,"[1, 2, 28, 29, 68, 69, 95, 96]",8
140830390,0,12.8379689423837,10539.0192793982,9.84641229425166,1072.01,"[11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 89, 90, 93, 94, 95, 96]",32
231721005,0,9.0182016,492.0,3.08,2448.01,"[64, 65, 66, 67, 87, 93, 94, 95, 97, 98]",10
389182138,0,2.7260173,1165.0,2.703,1391.01,[77],1
366989877,1,15.5077855,513.0,4.565,1054.01,"[13, 27, 67, 94]",4
257605131,1,16.3648730373237,2075.09441176443,4.04783015228481,451.01,"[4, 5, 31]",3
27318774,1,3.24324876796633,17481.821644802,3.07484405344571,4471.01,"[41, 54, 55, 56, 74, 75, 76, 81, 82, 83]",10
428699140,1,1.9268037,2260.0,1.4,3082.01,"[37, 64]",2
271042173,0,0.476873,1930.0,1.135,3557.01,[54],1
91987762,1,45.5221455560606,3028.54532793479,4.38393920742717,1898.01,"[21, 45, 46, 48, 72]",5
293435336,1,1.8098811293497352,13033.561270092658,3.7636624066186646,2403.01,"[30, 42, 43, 97]",4
308425348,0,3.39829,4340.0,2.634,1918.01,"[63, 64]",2
273690178,1,14.85898876980426,4164.263357531708,2.8916037019171297,7396.01,"[14, 15, 74, 75, 81, 82]",6
49428710,1,12.2193392429859,1670.13106252132,4.88769353255069,5174.01,"[45, 46, 72]",3
62530991,0,4.0266483,754.0,2.312,2585.01,"[8, 61]",2
236445129,1,0.968992717542034,13532.9710157306,2.54963090157357,1282.01,"[15, 41, 55]",3
456862677,1,15.2664658181527,16186.1729540338,2.66737922409819,4515.01,"[42, 43, 57, 84]",4
371210825,0,0.40312,1000.0,0.853,1702.01,"[44, 45, 46, 47, 71, 72]",6
269269740,0,1.8639309,3640.0,3.297,3549.01,"[54, 55, 74, 75, 81, 82]",6
116608612,0,3.4557863,6423.0,2.164,1649.01,"[43, 44, 45, 59, 73]",5
243244680,1,19.4921473,1700.0,3.568,5065.01,"[44, 45, 46, 72]",4
260476837,0,2.23294,16930.0,2.032,935.01,"[11, 12, 13, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 87, 88, 89, 90, 93, 94, 95, 96]",22
73448352,1,4.7321735,8121.0,2.589,1603.01,"[58, 85]",2
279947414,1,4.0664446,19740.0,1.712,4145.01,"[52, 53, 59, 73, 79, 86]",6
456042145,0,2.0474832,6790.0,3.159,3924.01,"[77, 78]",2
455036659,1,4.007232,10360.0,4.78,2707.01,[98],1
408729765,0,4.6200781,3480.0,2.149,4139.01,"[52, 53]",2
373614579,0,8.20648666119672,29281.2259568654,2.96785421218809,3799.01,"[47, 60]",2
49043968,1,6.24622520490738,13270.5292659393,4.25083606822295,6275.01,"[63, 90, 99]",3
35022727,1,3.65281123782676,18681.4630567732,2.87885731406943,4530.01,"[42, 43, 44, 70, 71]",5
9443323,1,4.0135700487779,8561.43948662856,4.13812017684486,6052.01,"[59, 73, 86]",3
155995204,0,9.30734,42774.4,4.683,384.01,"[28, 29]",2
113553629,0,4.30438,672.002,3.037,988.01,[34],1
407146536,0,2.0976705,2503.68568813699,3.36180359656114,4279.01,"[39, 65, 66, 93]",4
299799658,1,4.1150576,487.0,1.08,1062.01,"[1, 13, 27, 28, 66, 67, 68, 93, 94, 95]",10
202468443,0,2.0685871,38060.0,0.598,5268.01,"[75, 76, 77]",3
358070912,1,0.8831279,2068.06748773978,1.65168601229022,3261.01,"[63, 66, 67, 68, 69, 87, 90, 93, 94, 95, 96]",11
467783290,0,3.6502527,9000.0,2.506,3753.01,"[43, 44, 70, 71]",4
470911286,0,1.6212474,1100.0,3.262,3986.01,"[58, 78, 85]",3
304042899,0,12.4458741183019,7049.37773919067,11.5424587447013,775.01,"[10, 11, 37]",3
159781361,1,15.3468182,665.0,6.425,2019.01,"[23, 24, 50, 77, 78]",5
63452790,1,2.68430809910922,18209.9206621422,2.76833520837019,4434.01,"[40, 41, 54, 55, 74, 75, 81]",7
77031414,1,1.38665190413455,14246.466553054,2.30067513238714,241.01,"[2, 29, 69, 96]",4
361711730,1,10.2436729,9410.0,2.999,5027.01,"[66, 93]",2
410214986,1,8.13822217724381,3852.02998740204,3.27970250585292,200.01,"[1, 27, 28, 67, 68, 94, 95]",7
181949561,1,4.055283210790846,23434.80524856877,2.868068006176064,5675.01,"[51, 91]",2
368739874,1,3.3575477,26240.0,1.788,5680.01,[51],1
36440357,1,9.20164964153958,13812.3233628416,4.43173329634051,546.01,"[6, 33, 87]",3
240681314,1,2.73248092340943,9548.28060119954,2.21393408356751,1477.01,"[17, 57, 84]",3
263203229,0,5.0061978,6438.0,3.521,6741.01,[93],1
73717937,1,16.2546802,4950.0,4.74,819.01,"[10, 11, 37, 64, 99]",5
219015370,1,3.9152737,3350.0,2.562,1294.01,"[40, 41, 47, 48, 49, 74, 75, 76, 80]",9
219189765,1,1.73185293964858,36359.4301748499,1.69196389934225,737.01,"[9, 36, 63, 90]",4
15827263,0,3.9525732,857.0,2.378,6645.01,[80],1
114299824,1,4.204207807731861,12080.0,2.124,1923.01,"[34, 61, 88]",3
311133118,1,3.50616494167509,18379.4360483842,1.60096579914222,5676.01,"[50, 51, 77]",3
407126408,1,11.099347951112,1159.38920184936,3.24643728830987,913.01,"[12, 13, 65, 66, 93]",5
388076005,0,1.7126115,340.0,3.128,1622.01,"[18, 24]",2
287190564,0,1.49861,2188.61,2.871,1309.01,"[40, 41]",2
258804746,1,0.224195,540.0,0.292,2431.01,"[31, 42, 43, 70, 71]",5
380907135,1,4.0460644,8004.0,5.824,4536.01,"[42, 43, 70]",3
140706664,0,3.28892,10518.9,3.793,1020.01,[35],1
156991337,0,6.905590826350174,803.7956840319666,1.7156096991519358,691.01,"[6, 7, 33]",3
346418409,0,2.75565318083079,2854.45892881993,3.39672818822985,1423.01,"[16, 56, 57, 83]",4
386435344,0,19.3721050588841,3219.55946447088,3.085914879874,575.01,"[8, 34, 61, 88, 99]",5
147576037,0,13.0727479,4080.0,3.044,1157.01,"[40, 41, 47, 60, 74]",5
12421862,1,10.21520251255381,960.547568217517,2.347621859753776,198.01,"[2, 29, 69, 96]",4
166739520,1,10.020598100361862,8240.021446255201,5.850846243414526,190.01,"[2, 3, 29, 30, 69, 96, 97]",7
360816293,0,3.5506084,16040.0,2.706,3146.01,[93],1
405484221,0,42.82891524015,85688.8204518609,2.32485261915231,4636.01,"[42, 43, 44, 70, 71]",5
186812530,1,3.6773543,3949.0,1.441,503.01,"[7, 34, 44, 45, 46, 71, 72]",7
347011522,0,17.2045725,3770.0,4.987,3996.01,[57],1
313891529,0,12.3750536935672,4155.61048250863,6.61661810808518,2424.01,"[29, 96]",2
20182165,0,9.7815625,20040.0,3.736,1830.01,"[23, 24, 50, 51, 77]",5
62483237,1,11.0708575296637,1149.7328034023,2.19376165846134,139.01,"[1, 28, 68, 95]",4
232038798,1,4.1536624,12310.0,1.702,1909.01,"[32, 33, 34, 61, 88, 98]",6
358072664,0,4.1934945,2710.0,1.873,4902.01,[89],1
366443426,1,15.5718552,380.0,4.931,4304.01,"[7, 34, 44, 45, 46, 61, 72, 88]",8
1129033,1,1.36002827981971,19427.6944703414,2.16527507554805,398.01,"[4, 31]",2
146836153,0,2.3252877906374,29370.9546150175,2.27757104894432,2879.01,[61],1
73649615,1,1.23925693308305,2917.37145713214,1.08604522369357,756.01,"[10, 11, 37, 64]",4
384549882,0,0.30412,1330.0,0.748,1048.01,"[35, 36]",2
161032923,1,3.96524845539638,3680.75444363952,1.0112592832945,1080.01,"[13, 66, 93]",3
118308828,0,3.7353995,2360.0,1.836,4265.01,"[61, 62, 63, 89, 90]",5
158324245,1,1.7635881,6650.0,3.092,1161.01,"[14, 15, 26, 40, 41, 53, 54, 55, 74, 75, 80, 82]",12
346626688,1,4.40851938752088,8977.03543043807,3.30167931561148,3666.01,"[58, 85]",2
412259468,0,2.65357769264775,1446.27536007697,2.10149144313991,3357.01,"[34, 87, 88]",3
58824746,1,10.2829582517974,865.124645705015,3.53489155847534,4638.01,"[42, 43, 70]",3
